Emnekode,Count,Fagkrets,Emnegruppe,BIT,BIT_semester,MTDT,MTDT_semester
IT2810,383,IT,WEBUTVILIKNG,1,5,1,5
IT2805,890,IT,WEBTEK,1,1,0,
TIØ4258,1281,INDØK,TEKLED,0,,1,6
TIØ4257,79,INDØK,TEKLED,0,,0,
TMA4240,1738,MATEMATIKK,STATISTIKK,0,,1,3
MET1002,9,MATEMATIKK,STATISTIKK,0,,0,
TMA4245,206,MATEMATIKK,STATISTIKK,0,,0,
TDT4140,2838,IT,PU,1,4,1,4
IT2901,936,IT,PROSJEKT2,1,6,0,
IT1901,1098,IT,PROSJEKT1,1,3,0,
TDT4165,998,IT,PROGSPRÅK,1,5,1,5
TDT4237,471,IT,PROGSIK,1,6,0,
IT1501,715,IT,PROGLAB,1,2,0,
TDT4240,760,IT,PROGARK,1,6,1,6
TDT4113,522,IT,PLAB2,0,,1,3
TDT4112,686,IT,PLAB1,0,,1,2
TDT4186,1934,IT,OPSYS,1,6,1,6
TDT4100,4052,IT,OO,1,2,1,2
TDT4102,203,IT,OO,0,,0,
TDT4180,2440,IT,MMI,1,4,1,4
TDT4171,875,IT,METODERAI,1,6,1,6
TMA4135,1885,MATEMATIKK,MATTE4D,0,,1,5
TMA4122,6,MATEMATIKK,MATTE4D,0,,0,
TMA4130,12,MATEMATIKK,MATTE4D,0,,0,
TMA4125,52,MATEMATIKK,MATTE4D,0,,0,
TMA4115,2182,MATEMATIKK,MATTE3,0,,1,2
TMA4110,109,MATEMATIKK,MATTE3,0,,0,
TMA4100,2491,MATEMATIKK,MATTE1,0,,1,1
TDT4900,800,IT,MASTER,0,,0,
TDT4258,359,IT,MASKINNÆR,1,5,1,5
TDT4173,266,IT,MASKINLÆRING,0,,0,
TDT4295,133,IT,KUNDEPROSJEKT,0,,0,
TDT4290,649,IT,KUNDEPROSJEKT,0,,0,
TTM4100,2949,KOMTEK,KTN,1,2,1,4
TFE4101,1023,ELSYS,KRETS,0,,1,2
TDT4205,366,IT,KOMPTEK,1,6,1,6
TDT4137,429,IT,KOGARK,1,5,1,5
TDT4110,2923,IT,ITGK,1,1,1,1
TDT4105,188,IT,ITGK,0,,0,
