programkode,studentnr,karakter,vurderingsstatus,year,semester
BBI,716293,C,Bestått,2010,v
BFI,707206,,Ikke møtt,2010,v
BFI,707206,,Ikke møtt,2011,v
BFI,751124,F,Ikke bestått,2014,v
BFI,751124,F,Ikke bestått,2014,s
BFI,751124,F,Ikke bestått,2016,s
BFI,751124,F,Ikke bestått,2017,v
BFI,751124,F,Ikke bestått,2018,v
BFILMPROD,669355,,Ikke møtt,2010,v
BFILMPROD,716502,F,Ikke bestått,2011,v
BFILMPROD,716502,F,Ikke bestått,2011,s
BFILMPROD,716502,E,Bestått,2012,v
BFY,686011,,Manglende øvinger,2013,v
BFY,715011,C,Bestått,2010,v
BHIST,707678,D,Bestått,2013,v
BIDAT,770209,,Manglende øvinger,2016,v
BIDAT,770209,E,Bestått,2017,v
BIELKR-F,714943,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIELKR-F,714943,F,Ikke bestått,2010,s
BIELKR-F,714943,D,Bestått,2011,v
BIT,1900,B,Bestått,2012,v
BIT,5965,,Manglende øvinger,2015,v
BIT,50925,A,Bestått,2010,v
BIT,80249,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,80249,,Trekk under eksamen (Avbrutt eksamen),2010,s
BIT,80249,F,Ikke bestått,2011,v
BIT,80249,F,Ikke bestått,2011,s
BIT,80249,F,Ikke bestått,2012,v
BIT,80249,F,Ikke bestått,2012,s
BIT,80249,F,Ikke bestått,2013,v
BIT,80249,F,Ikke bestått,2013,s
BIT,80249,,Ikke møtt,2014,v
BIT,80249,,Ikke møtt,2015,v
BIT,100518,B,Bestått,2015,v
BIT,100875,B,Bestått,2012,v
BIT,100926,C,Bestått,2012,v
BIT,110255,B,Bestått,2013,v
BIT,110474,D,Bestått,2013,v
BIT,110562,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,110892,D,Bestått,2011,v
BIT,130569,B,Bestått,2011,v
BIT,131344,B,Bestått,2016,v
BIT,140382,C,Bestått,2010,v
BIT,140382,B,Bestått,2011,v
BIT,140397,B,Bestått,2017,v
BIT,246377,,Manglende øvinger,2017,v
BIT,253293,F,Ikke bestått,2017,v
BIT,253915,F,Ikke bestått,2017,v
BIT,254894,C,Bestått,2017,v
BIT,254918,F,Ikke bestått,2018,v
BIT,254953,F,Ikke bestått,2018,v
BIT,255141,,Manglende øvinger,2017,v
BIT,257287,D,Bestått,2017,v
BIT,257384,E,Bestått,2017,v
BIT,257384,D,Bestått,2018,v
BIT,258588,F,Ikke bestått,2017,v
BIT,258588,F,Ikke bestått,2017,s
BIT,258588,E,Bestått,2018,v
BIT,258654,C,Bestått,2017,v
BIT,259503,C,Bestått,2017,v
