studieprogramkode;studieprogramnavn;arstall_kull;terminkode_kull;institusjonsnr;arstall_und;terminkode_und;arstall_eks;terminkode_eks;studentnr;karakter;vurdresstatnavn
BIT;Informatikk - bachelorstudium;2007;HØST;194;2008;VÅR;2008;VÅR;698861;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2008;HØST;194;2013;HØST;2013;HØST;705362;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2008;HØST;194;2010;VÅR;2010;VÅR;80249;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2009;HØST;194;2010;VÅR;2010;VÅR;713689;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2009;HØST;194;2014;VÅR;2014;VÅR;713698;D;Bestått
BIT;Informatikk - bachelorstudium;2009;HØST;194;2012;VÅR;2012;VÅR;713695;E;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;194;2013;VÅR;2013;VÅR;721982;E;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;194;2012;VÅR;2012;VÅR;721919;A;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;194;2014;VÅR;2014;VÅR;730552;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2011;HØST;194;2012;VÅR;2012;VÅR;730505;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;194;2012;VÅR;2012;VÅR;730521;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;194;2012;VÅR;2012;VÅR;730499;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;194;2013;VÅR;2013;VÅR;694574;;Ikke møtt
BIT;Informatikk - bachelorstudium;2012;HØST;194;2013;VÅR;2013;VÅR;715582;;Ikke møtt
BIT;Informatikk - bachelorstudium;2014;HØST;194;2015;VÅR;2015;VÅR;723765;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2016;HØST;194;2014;VÅR;2014;VÅR;730486;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2010;HØST;194;2011;VÅR;2011;VÅR;723703;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;731823;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;194;2011;VÅR;2011;VÅR;723727;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;733515;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;719307;;Ikke møtt
MTDT;Datateknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;731791;F;Ikke bestått
MTDT;Datateknologi - masterstudium (5-årig);2014;HØST;194;2015;VÅR;2015;VÅR;724329;F;Ikke bestått
MTDT;Datateknologi - masterstudium (5-årig);2015;HØST;194;2012;VÅR;2012;VÅR;713170;C;Bestått
MTING;Ingeniørvitenskap og IKT - masterstudium (5-årig);2010;HØST;194;2012;VÅR;2012;VÅR;697204;B;Bestått
MTING;Ingeniørvitenskap og IKT - masterstudium (5-årig);2011;HØST;194;2011;VÅR;2011;VÅR;714942;;Ikke møtt
MTING;Ingeniørvitenskap og IKT - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;732337;D;Bestått
MTING;Ingeniørvitenskap og IKT - masterstudium (5-årig);2012;HØST;194;2012;VÅR;2012;VÅR;722329;F;Ikke bestått
MTING;Ingeniørvitenskap og IKT - masterstudium (5-årig);2012;HØST;194;2012;VÅR;2012;VÅR;732310;E;Bestått
MTIØT;Industriell økonomi og teknologiledelse - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;722298;B;Bestått
MTIØT;Industriell økonomi og teknologiledelse - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;714239;C;Bestått
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2009;HØST;194;2010;VÅR;2010;VÅR;716320;F;Ikke bestått
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;707227;;Ikke møtt
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;729565;E;Bestått
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2011;HØST;194;2012;VÅR;2012;VÅR;730492;F;Ikke bestått
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2015;HØST;194;2007;VÅR;2007;VÅR;684527;F;Ikke bestått
MTKOM;Kommunikasjonsteknologi - masterstudium (5-årig);2015;HØST;194;2012;VÅR;2012;VÅR;731443;;Ikke møtt
