studieprogramkode,studieprogramnavn,kandidatnr,karakter,vurdresstatnavn,aar
BFI,Filosofi - bachelorstudium,10004,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10267,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10668,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10638,D,Bestått,2018
BIT,Informatikk - bachelorstudium,10613,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10318,,Legeattest,2018
BIT,Informatikk - bachelorstudium,10089,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10038,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10513,E,Bestått,2018
BIT,Informatikk - bachelorstudium,10268,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10177,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10816,C,Bestått,2018
BIT,Informatikk - bachelorstudium,10159,C,Bestått,2018
BIT,Informatikk - bachelorstudium,10553,E,Bestått,2018
BIT,Informatikk - bachelorstudium,10054,B,Bestått,2018
BIT,Informatikk - bachelorstudium,10350,E,Bestått,2018
BIT,Informatikk - bachelorstudium,10018,D,Bestått,2018
BIT,Informatikk - bachelorstudium,10801,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10514,C,Bestått,2018
BIT,Informatikk - bachelorstudium,10042,C,Bestått,2018
BIT,Informatikk - bachelorstudium,10423,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10129,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10570,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10608,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10665,,Ikke møtt,2018
BIT,Informatikk - bachelorstudium,10792,B,Bestått,2018
BIT,Informatikk - bachelorstudium,10699,D,Bestått,2018
BIT,Informatikk - bachelorstudium,10725,E,Bestått,2018
BIT,Informatikk - bachelorstudium,10152,E,Bestått,2018
BIT,Informatikk - bachelorstudium,10452,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10219,,Trekk under eksamen (Avbrutt eksamen),2018
BIT,Informatikk - bachelorstudium,10199,C,Bestått,2018
BIT,Informatikk - bachelorstudium,10246,F,Ikke bestått,2018
BIT,Informatikk - bachelorstudium,10712,,Legeattest,2018
BIT,Informatikk - bachelorstudium,10138,F,Ikke bestått,2018
