studieprogramkode;studieprogramnavn;arstall_kull;terminkode_kull;arstall_und;terminkode_und;arstall_eks;terminkode_eks;studentnr;karakter;vurdresstatnavn
BFI;Filosofi - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751124;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2006;HØST;2007;VÅR;2007;VÅR;690374;;Gyldig fravær
BIT;Informatikk - bachelorstudium;2007;HØST;2010;VÅR;2010;VÅR;689814;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2007;HØST;2010;VÅR;2010;VÅR;698856;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2008;HØST;2010;VÅR;2010;VÅR;80249;;Ikke møtt
BIT;Informatikk - bachelorstudium;2009;HØST;2014;VÅR;2014;VÅR;713753;B;Bestått
BIT;Informatikk - bachelorstudium;2009;HØST;2010;VÅR;2010;VÅR;713750;E;Bestått
BIT;Informatikk - bachelorstudium;2009;HØST;2010;VÅR;2010;VÅR;453809;;Ikke møtt
BIT;Informatikk - bachelorstudium;2010;HØST;2012;VÅR;2012;VÅR;721908;E;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2011;VÅR;2011;VÅR;721934;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2012;VÅR;2012;VÅR;721966;C;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2011;VÅR;2011;VÅR;721960;C;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;730552;E;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;728959;E;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;722357;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;713257;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;728898;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730524;D;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;707730;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730518;A;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;684529;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;729069;E;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730528;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;721897;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;734164;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739427;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739469;B;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;697670;B;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739414;;Ikke møtt
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739481;E;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739399;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739426;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739472;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;694574;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739385;E;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739476;E;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739463;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;729791;E;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739436;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;746224;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751341;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;747522;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;741401;E;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751334;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;749408;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751425;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751410;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751372;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751383;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751346;E;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751363;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;746106;E;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;740481;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751343;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751423;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;458081;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751400;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751336;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751329;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;705096;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751386;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751368;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751411;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751389;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751424;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;747565;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;750571;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751375;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751367;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751357;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751371;F;Ikke bestått
